Sku Code,Sku Name,Campaign,Remarks,PO Received,Old GST %,New GST%,GST Change,Old MRP,New MRP,Old EAN,New EAN,Old HSN,New HSN,Old Grammage,New Grammage,Drive Link,NPI status,Ingredients,catgeory,allergens ,Length,breadth,Height,shelf life,
354035,Let Try Pratham Ragi Murruku 180 Gm,,,,12,5,Yes,85,85,8906161392324,8906161392324,21069099,21069099,180,193,https://drive.google.com/drive/folders/1ZSSKoK4rCw5hU5NgmFZo3IfCpeLPhzv5?usp=drive_link,,"Refined Wheat Flour, Ragi Flour, Tapioca Flour, Semolina, Starch, Rice Flour, Black Lentil Flour, Edible Vegetable Oil (Cotton Seed Oil), lodised Salt, Red Chilli Powder, Cumin, White Sesame, Nigella Seeds.",Munchies,,15.5,7,22,180,
634124,Let's Try Atta Ragi Cake 150 Gms,,,,12,5,Yes,188,176,8906161391853,8906161391853,21069099,1905,150,150,https://drive.google.com/drive/folders/1hrOmkOINuO99ar-e6oEgX1CHJWr0s0yG,,"Whole Wheat Flour (Atta), Milk, Salted Butter, Brown Sugar, Ragi Flour, Cake, Concerntrate and Cake Gel [ Milk Solid, Starch, Emulsifier and Stabilizer (E322, E476, E477, E491, E412, E471, E433, E415, E470(i), E422, E1520, E509), Dextrose, Salt, Rice Flour, Wheat Gluten, Synthetic Color E171, Artificial Vanilla Flavouring, Leavening Agent (E541, E450(ii), E341(1), E475, E481(1) ], Custard Powder, Glycerine, Sorbitol, Honey, Preservatives (E202, E282, E260), Milk Essence, Vanilla Essence, Raising Agent (E500ii), Emulsifier (E472e), Citric Acid (E330).",Cakes & Muffins,,10.8,5.9,14.1,90,
789639,Let's Try Banana Cake 150 Gms,,,,12,5,Yes,188,176,8906161391839,8906161391839,21069099,1905,150,150,https://drive.google.com/drive/folders/180QhGjTB11-8HqpaEQaK-eVLrs2TYsKP,,"Sugar, Vegetable Oil (Sunflower Oil), RO Water, Bananas (18%). Whole wheat flour (Atta) (17%), Potato Starch, Tapioca flour, Baking Soda, Psyllium Husk, Baking Powder, Preservatives (INS 202, INS 282), Raising Agent (INS 500 (ii))",Cakes & Muffins,,10.8,5.9,14.1,90,
953838,Let's Try Banana Walnut Cake 150 Gms,,,,12,5,Yes,188,176,8906161391846,8906161391846,21069099,1905,150,150,https://drive.google.com/drive/folders/1kA4A5anhDAXxN_ueJD_Um5vCGEMgGamE,,"Sugar, Vegetable Oil (Sunflower Oil), Bananas (18%), Whole wheat flour (Atta) (17%), RO Water, Walnut (8%), Potato Starch, Tapioca flour, Baking Soda, Psyllium Husk, Baking Powder, Preservatives (INS 202, INS 282), Raising Agent (INS 500 (ii)).",Cakes & Muffins,,10.8,5.9,14.1,90,
561406,Let's Try Bhel Mixture 180 Gms,,,,12,5,Yes,120,113,8906161392041,8906161392041,21069099,21069099,180,180,https://drive.google.com/drive/folders/1JeHDBGiuGPHDcKJLBGQNnVLCyxoyy9we?usp=drive_link,,"Pud Rice (Vegetable Oiltined Grundst Oil and Edible Vegetable Fati, Chickpeas 11261 Checkpeas Flour ( Peanut Wheat archa sodised Salt, Sugar, ""Spices & Condiments Collander seed powder Dry Mango powder, Ginger powder Tamarind powder, Turmeric Powder, Red Call Poncler Curren Powder. Asafoetida, Acidity",Munchies,,17.5,7,24,,
691676,Let's Try Chatpata Mixture 180 gm,,,,,,,,,,8906161392706,,,,,#N/A,,"Gram Flour, Edible Vegetable Oil (Refined Com Flakes (16%), Roasted Peanuts (10%), Masoor Dal (10%) Curry Leaves (1%), lodised Salt, ""Spices and Condiments (Degi Mirch, Turmeric Powder, Black Salt, Dry Mango Powder, Cumin Powder, Cinnamon Powder, Coriander Powder, Black Pepper, Asafoetida).",Munchies,,,,,,
376428,Let's Try Choco Ragi Cake 150 Gms,,,,12,5,Yes,188,176,8906161391860,8906161391860,21069099,1905,150,150,https://drive.google.com/drive/folders/1dIItJ-2xbU9W7athOzsRXhV4U0_RBJx7,,"Ragi Flour, Salted Butter, Milk, Brown Sugar, Whole Wheat Flour (Atta), Roasted Gram Flour, Chocochip, Cocoa Powder, Cake Concerntrate And Cake Gel (Milk Solid, Starch, Emulsifier and Stabilizer (E322, E476, E477, E491, E412, E471, E433, E415, E470(i), E422, E1520, E509), Dextrose, Salt, Rice Flour, Wheat Gluten, Synthetic Color E171, Artificial Vanilla Flavouring, Leavening Agent (E541, E450(ii), E341(1), E475, E481(i)], Glycerine, Sorbitol, Honey, Preservatives (E202, E282, E260), Chocolate Essence, Milk Essence, Raising Agent",Cakes & Muffins,,10.8,5.9,14.1,90,
449121,Let's Try Cream & Onion Chips 50g,,Not supplied,,,,,,,,8906161393017,,,,,#REF!,,"Potato, Edible Vegetable Oil (Refined Groundnut O *Spices & Condiments (Onion Powder, Fat Powder. M Powder, Parsley Leaf, Flavour Enhancers ONS 631, INS 6271. Acidity Regulator (INS 330), Anti-Caking Agent (INS 551).",Munchies,,,,,,
285543,Let's Try Desi Masala Chips 50g,,Not supplied,,,,,,,,8906161393024,,,,,#N/A,,"Potato, Edible Vegetable Oil (Refined Groundnut O *Spices & Condiments (Onion, Red Chilli Powder, Dry Mango Powder, Coriander, Dry Ginger. Black Pepper, Garlic, lodized Salt, Black Salt, Tomato Powder Sugar, Milk Solids, Acidity Regulator (INS 330. INS 29%, INS 334",Munchies,,,,,,
369233,Let's Try Elaichi Wheat Rusk 200g,,,,5,5,No,100,100,8906161391969,8906161391969,19053100,19053100,200,200,https://drive.google.com/drive/u/3/folders/1Zl4p7vemRePm_36WrOVXuzkj_kSd6d9K,,"Whole Wheat Flour (64%), Sugar, Edible Vegetable Fat, Invert Syrup, Milk Solids, Yeast, Gluten, Wheat Fibre, lodized Salt, Raising Agent (INS 300), Emulsifiers (INS 4726, INS 471), Dough Conditioner (INS 300), Flour Improver (INS170(1), INS1100, Soya Flour, Starch, INS300), Natural Flavouring Substanc es (Cardamom (1%)).",Munchies,,,,,,
566009,Let's Try Flying Chilli Chips 50g,Yes,Supplying,,,,,,,,8906161393222,,,,,#N/A,,"Potato, Edible Vegetable Oil (Refined Groundnut Oil, Spice Condiments (Red Chilli Powder, Onion, Garlic Forden, Coriander, Dry Ginger, Cinnamon, Cumin, Black Pepper, od Salt, Maltodextrin, Sugar, Edible Starch, Black Salt, Milk So Tomato Powder, Nature & Natural Identical Flavoong Substances, Acidity Regulator (INS 330, INS 296, INS 110",Munchies,,,,,,
325339,Let's Try Methi Sev,,,,12,5,Yes,120,120,8906161391631,8906161391631,21069099,21069099,180,193,https://drive.google.com/drive/u/3/folders/141x-u014PNehuALbO7Fb4K7aIl7c3v0F,,"Gram Flour, Edible Vegetable Oil (Refined Groundnut Oil), Fenugreek (2.5%), lodized Salt Red Chili Powder, Carom Seeds, Turmeric Powder, Raising Agent (INS500(ii)).",Munchies,,,,,,
593843,Let's Try Mix Lite Papad 50 Gms,,,,12,5,Yes,60,56,8906161391617,8906161391617,21069099,21069099,50,50,https://drive.google.com/drive/u/3/folders/1XI-Di-daKgHVX5ViGuEJbL6qNkGuOHo8,,"Potato Starch, Dehydrated Potatoes, Modified Potato Starch, Pregel Flour, Edible Vegetable Oil (Refined Groundnut Oil), lodised Salt.",Munchies,,,,,,
